layer, level, fraction, repeat, accuracy
classifier.3, synapse, 0.0, 0, 0.9038199782371521
classifier.3, synapse, 0.0, 1, 0.9038199782371521
classifier.3, synapse, 0.0, 2, 0.9038199782371521
classifier.3, synapse, 0.1, 0, 0.9040799736976624
classifier.3, synapse, 0.1, 1, 0.9037399888038635
classifier.3, synapse, 0.1, 2, 0.903659999370575
classifier.3, synapse, 0.2, 0, 0.9035999774932861
classifier.3, synapse, 0.2, 1, 0.9036399722099304
classifier.3, synapse, 0.2, 2, 0.9037999510765076
classifier.3, synapse, 0.3, 0, 0.9033799767494202
classifier.3, synapse, 0.3, 1, 0.9030799865722656
classifier.3, synapse, 0.3, 2, 0.9033599495887756
classifier.3, synapse, 0.4, 0, 0.9033799767494202
classifier.3, synapse, 0.4, 1, 0.9032999873161316
classifier.3, synapse, 0.4, 2, 0.9031999707221985
classifier.3, synapse, 0.5, 0, 0.9022799730300903
classifier.3, synapse, 0.5, 1, 0.9027199745178223
classifier.3, synapse, 0.5, 2, 0.9023199677467346
classifier.3, synapse, 0.6, 0, 0.9026599526405334
classifier.3, synapse, 0.6, 1, 0.901919960975647
classifier.3, synapse, 0.6, 2, 0.9016599655151367
classifier.3, synapse, 0.7, 0, 0.8997199535369873
classifier.3, synapse, 0.7, 1, 0.8998399972915649
classifier.3, synapse, 0.7, 2, 0.8997799754142761
classifier.3, synapse, 0.8, 0, 0.8959599733352661
classifier.3, synapse, 0.8, 1, 0.895859956741333
classifier.3, synapse, 0.8, 2, 0.8956199884414673
classifier.3, synapse, 0.9, 0, 0.8789199590682983
classifier.3, synapse, 0.9, 1, 0.8790199756622314
classifier.3, synapse, 0.9, 2, 0.8801999688148499
classifier.3, synapse, 1.0, 0, 0.004999999888241291
classifier.3, synapse, 1.0, 1, 0.004999999888241291
classifier.3, synapse, 1.0, 2, 0.004999999888241291
classifier.3, node, 0.0, 0, 0.9038199782371521
classifier.3, node, 0.0, 1, 0.9038199782371521
classifier.3, node, 0.0, 2, 0.9038199782371521
classifier.3, node, 0.1, 0, 0.903499960899353
classifier.3, node, 0.1, 1, 0.9031999707221985
classifier.3, node, 0.1, 2, 0.9032399654388428
classifier.3, node, 0.2, 0, 0.9025599956512451
classifier.3, node, 0.2, 1, 0.9025200009346008
classifier.3, node, 0.2, 2, 0.9019799828529358
classifier.3, node, 0.3, 0, 0.9015399813652039
classifier.3, node, 0.3, 1, 0.9002999663352966
classifier.3, node, 0.3, 2, 0.9012199640274048
classifier.3, node, 0.4, 0, 0.8992799520492554
classifier.3, node, 0.4, 1, 0.8999399542808533
classifier.3, node, 0.4, 2, 0.8994999527931213
classifier.3, node, 0.5, 0, 0.8977599740028381
classifier.3, node, 0.5, 1, 0.8972199559211731
classifier.3, node, 0.5, 2, 0.8975399732589722
classifier.3, node, 0.6, 0, 0.8933799862861633
classifier.3, node, 0.6, 1, 0.8933799862861633
classifier.3, node, 0.6, 2, 0.892039954662323
classifier.3, node, 0.7, 0, 0.8853199481964111
classifier.3, node, 0.7, 1, 0.8848399519920349
classifier.3, node, 0.7, 2, 0.8855999708175659
classifier.3, node, 0.8, 0, 0.8741399645805359
classifier.3, node, 0.8, 1, 0.8712599873542786
classifier.3, node, 0.8, 2, 0.8749199509620667
classifier.3, node, 0.9, 0, 0.8309999704360962
classifier.3, node, 0.9, 1, 0.8312999606132507
classifier.3, node, 0.9, 2, 0.8268599510192871
classifier.3, node, 1.0, 0, 0.004999999888241291
classifier.3, node, 1.0, 1, 0.004999999888241291
classifier.3, node, 1.0, 2, 0.004999999888241291
classifier.6, synapse, 0.0, 0, 0.9038199782371521
classifier.6, synapse, 0.0, 1, 0.9038199782371521
classifier.6, synapse, 0.0, 2, 0.9038199782371521
classifier.6, synapse, 0.1, 0, 0.902899980545044
classifier.6, synapse, 0.1, 1, 0.9024199843406677
classifier.6, synapse, 0.1, 2, 0.9030199646949768
classifier.6, synapse, 0.2, 0, 0.8999399542808533
classifier.6, synapse, 0.2, 1, 0.9003599882125854
classifier.6, synapse, 0.2, 2, 0.8997199535369873
classifier.6, synapse, 0.3, 0, 0.8979199528694153
classifier.6, synapse, 0.3, 1, 0.897379994392395
classifier.6, synapse, 0.3, 2, 0.8979399800300598
classifier.6, synapse, 0.4, 0, 0.8949399590492249
classifier.6, synapse, 0.4, 1, 0.895799994468689
classifier.6, synapse, 0.4, 2, 0.8940399885177612
classifier.6, synapse, 0.5, 0, 0.889739990234375
classifier.6, synapse, 0.5, 1, 0.8893799781799316
classifier.6, synapse, 0.5, 2, 0.887939989566803
classifier.6, synapse, 0.6, 0, 0.8804199695587158
classifier.6, synapse, 0.6, 1, 0.8793999552726746
classifier.6, synapse, 0.6, 2, 0.8804599642753601
classifier.6, synapse, 0.7, 0, 0.8668799996376038
classifier.6, synapse, 0.7, 1, 0.8658999800682068
classifier.6, synapse, 0.7, 2, 0.8644799590110779
classifier.6, synapse, 0.8, 0, 0.8315199613571167
classifier.6, synapse, 0.8, 1, 0.8364399671554565
classifier.6, synapse, 0.8, 2, 0.8387799859046936
classifier.6, synapse, 0.9, 0, 0.746679961681366
classifier.6, synapse, 0.9, 1, 0.7425199747085571
classifier.6, synapse, 0.9, 2, 0.7443199753761292
classifier.6, synapse, 1.0, 0, 0.004999999888241291
classifier.6, synapse, 1.0, 1, 0.004999999888241291
classifier.6, synapse, 1.0, 2, 0.004999999888241291
classifier.6, node, 0.0, 0, 0.9038199782371521
classifier.6, node, 0.0, 1, 0.9038199782371521
classifier.6, node, 0.0, 2, 0.9038199782371521
classifier.6, node, 0.1, 0, 0.8208400011062622
classifier.6, node, 0.1, 1, 0.8200399875640869
classifier.6, node, 0.1, 2, 0.8190400004386902
classifier.6, node, 0.2, 0, 0.7319599986076355
classifier.6, node, 0.2, 1, 0.7329199910163879
classifier.6, node, 0.2, 2, 0.7342000007629395
classifier.6, node, 0.3, 0, 0.6455399990081787
classifier.6, node, 0.3, 1, 0.6451199650764465
classifier.6, node, 0.3, 2, 0.6472199559211731
classifier.6, node, 0.4, 0, 0.5582399964332581
classifier.6, node, 0.4, 1, 0.5597800016403198
classifier.6, node, 0.4, 2, 0.5553199648857117
classifier.6, node, 0.5, 0, 0.4704599976539612
classifier.6, node, 0.5, 1, 0.4703199863433838
classifier.6, node, 0.5, 2, 0.47095999121665955
classifier.6, node, 0.6, 0, 0.37911999225616455
classifier.6, node, 0.6, 1, 0.37849998474121094
classifier.6, node, 0.6, 2, 0.37605997920036316
classifier.6, node, 0.7, 0, 0.2869199812412262
classifier.6, node, 0.7, 1, 0.2863200008869171
classifier.6, node, 0.7, 2, 0.2867799997329712
classifier.6, node, 0.8, 0, 0.19373999536037445
classifier.6, node, 0.8, 1, 0.1938599944114685
classifier.6, node, 0.8, 2, 0.19280000030994415
classifier.6, node, 0.9, 0, 0.09843999892473221
classifier.6, node, 0.9, 1, 0.09799999743700027
classifier.6, node, 0.9, 2, 0.09789999574422836
classifier.6, node, 1.0, 0, 0.004999999888241291
classifier.6, node, 1.0, 1, 0.004999999888241291
classifier.6, node, 1.0, 2, 0.004999999888241291
